Cruise_Number: IML2018051
Original_Filename: iml2018051001.cnv
Latitude: 48.75017
Longitude: -64.08133
GMT_Time: 14-OCT-2018 18:30:42.00
Event_Comments: Station 8.7
Quality_Comments: QCFF values are derived from tests of GTSPP stage 2
Quality_Comments: A quality flag modified by hand has a QCFF value of 1
Quality_Comments: Mean(AutoSAL-CTD) = 0.017092 ±0.0096407 (58 data)
Quality_Comments: O2 sensor calibrated with Winkler titrations (n=77, r2=0.998); orig Soc=0.33043, voffset=-0.4404
Quality_Comments: pH calibration to come
   CNTR_01    PRES_01 Q    TE90_01 Q    CNDC_01    OXV__01    PHPH_01 Q    FLOR_01    TRB__01    PSAR_01    SPAR_01    ALT__01    DPDT_01    DEPH_01 Q    PSAL_01 Q    SIGT_01 Q    DOXY_01 Q    OSAT_01 QCFF_01 
    (none)   decibars    degrees C       mhos/m      volts  NBS scale      mg/m**3        NTU    uE/s/m²    uE/s/m²          m metres/sec     metres          psu      kg/m**3         ml/l            %   
      5914     15.500 1     7.2876 1   3.017726     3.6105      8.258 1     0.6930      1.032     42.572   4626.400  69.030000      0.778     15.368 1    29.1811 1    22.8022 1      6.971 1  100.04000 0 
      5929     16.000 1     7.2886 1   3.017837     3.6096      8.257 1     0.7007      1.032     37.528   4626.100  68.570000      0.776     15.864 1    29.1812 1    22.8022 1      6.975 1  100.11000 0 
      5944     16.500 1     7.2913 1   3.018077     3.6086      8.257 1     0.7013      1.032     33.736   4626.300  68.150000      0.781     16.360 1    29.1812 1    22.8019 1      6.975 1  100.10800 0 
      5959     17.000 1     7.2906 1   3.018037     3.6080      8.256 1     0.6951      1.030     30.869   4627.000  67.650000      0.797     16.855 1    29.1812 1    22.8019 1      6.972 1  100.06900 0 
      5972     17.500 1     7.2860 1   3.017691     3.6083      8.256 1     0.6890      1.031     28.277   4627.300  67.170000      0.824     17.351 1    29.1812 1    22.8025 1      6.971 1  100.04600 0 
      5986     18.000 1     7.2814 1   3.017347     3.6088      8.256 1     0.6843      1.032     25.722   4627.300  66.730000      0.858     17.847 1    29.1812 1    22.8031 1      6.972 1  100.04400 0 
      5999     18.500 1     7.2789 1   3.017175     3.6090      8.256 1     0.6866      1.032     23.432   4626.900  66.280000      0.891     18.343 1    29.1812 1    22.8035 1      6.972 1  100.03800 0 
      6012     19.000 1     7.2779 1   3.017115     3.6087      8.256 1     0.6908      1.031     21.599   4626.500  65.770000      0.913     18.838 1    29.1812 1    22.8036 1      6.972 1  100.03200 0 
      6025     19.500 1     7.2757 1   3.016961     3.6082      8.255 1     0.6897      1.031     19.972   4626.100  65.260000      0.917     19.334 1    29.1812 1    22.8038 1      6.972 1  100.03000 0 
      6039     20.000 1     7.2731 1   3.016793     3.6079      8.255 1     0.6853      1.032     18.256   4626.100  64.720000      0.899     19.830 1    29.1814 1    22.8043 1      6.973 1  100.03900 0 
      6054     20.500 1     7.2730 1   3.016807     3.6076      8.254 1     0.6787      1.035     16.475   4626.200  64.150000      0.861     20.326 1    29.1814 1    22.8044 1      6.975 1  100.06400 0 
      6070     21.000 1     7.2724 1   3.016802     3.6073      8.254 1     0.6748      1.036     14.942   4626.200  63.650000      0.812     20.821 1    29.1816 1    22.8046 1      6.977 1  100.09900 0 
      6085     21.500 1     7.2716 1   3.016755     3.6070      8.254 1     0.6766      1.032     13.631   4625.700  63.150000      0.774     21.317 1    29.1816 1    22.8047 1      6.979 1  100.12300 0 
      6101     22.000 1     7.2703 1   3.016667     3.6068      8.254 1     0.6815      1.029     12.400   4624.700  62.640000      0.768     21.813 1    29.1816 1    22.8049 1      6.986 1  100.21500 0 
      6115     22.500 1     7.2701 1   3.016681     3.6069      8.254 1     0.6854      1.029     11.308   4624.200  62.120000      0.790     22.308 1    29.1816 1    22.8049 1      7.001 1  100.43500 0 
      6128     23.000 1     7.2714 1   3.016826     3.6071      8.254 1     0.6782      1.030     10.351   4624.300  61.620000      0.830     22.804 1    29.1819 1    22.8050 1      7.011 1  100.58600 0 
      6142     23.500 1     7.2734 1   3.017064     3.6075      8.254 1     0.6701      1.030      9.423   4625.000  61.120000      0.870     23.300 1    29.1826 1    22.8052 1      7.002 1  100.46400 0 
      6155     24.000 1     7.2752 1   3.017419     3.6078      8.254 1     0.6684      1.031      8.494   4625.800  60.640000      0.899     23.796 1    29.1846 1    22.8066 1      6.976 1  100.08500 0 
      6168     24.500 1     7.2821 1   3.018511     3.6096      8.254 1     0.6685      1.033      7.655   4626.700  60.170000      0.910     24.291 1    29.1902 1    22.8101 1      6.949 1   99.72900 0 
      6182     25.000 1     7.3076 1   3.022157     3.6134      8.253 1     0.6682      1.038      6.969   4627.400  59.690000      0.903     24.787 1    29.2074 1    22.8204 1      6.925 1   99.45100 0 
      6196     25.500 1     7.3849 1   3.032862     3.6167      8.251 1     0.6704      1.040      6.437   4627.400  59.220000      0.881     25.283 1    29.2562 1    22.8487 1      6.900 1   99.29200 0 
      6211     26.000 1     7.4979 1   3.047490     3.6183      8.249 1     0.6774      1.035      5.997   4626.900  58.620000      0.852     25.778 1    29.3163 1    22.8811 1      6.880 1   99.30900 0 
      6225     26.500 1     7.5791 1   3.057693     3.6183      8.246 1     0.6875      1.033      5.594   4626.400  58.060000      0.827     26.274 1    29.3559 1    22.9015 1      6.870 1   99.37300 0 
      6240     27.000 1     7.6516 1   3.066866     3.6169      8.244 1     0.7013      1.033      5.203   4626.900  57.570000      0.816     26.770 1    29.3917 1    22.9200 1      6.867 1   99.51200 0 
      6254     27.500 1     7.7046 1   3.073604     3.6142      8.243 1     0.7090      1.031      4.802   4627.800  56.990000      0.822     27.266 1    29.4181 1    22.9337 1      6.867 1   99.65400 0 
      6268     28.000 1     7.7251 1   3.076357     3.6110      8.241 1     0.7147      1.028      4.407   4628.800  56.250000      0.841     27.761 1    29.4297 1    22.9400 1      6.868 1   99.72700 0 
      6281     28.500 1     7.7297 1   3.077145     3.6076      8.240 1     0.7234      1.028      4.041   4629.300  55.670000      0.865     28.257 1    29.4339 1    22.9427 1      6.870 1   99.76700 0 
      6295     29.000 1     7.7299 1   3.077351     3.6049      8.239 1     0.7305      1.029      3.728   4629.100  55.280000      0.883     28.753 1    29.4357 1    22.9441 1      6.871 1   99.79000 0 
