Cruise_Number: IML2018051
Original_Filename: iml2018051001.cnv
Latitude: 48.75017
Longitude: -64.08133
GMT_Time: 14-OCT-2018 18:30:42.00
Event_Comments: Station 8.7
Quality_Comments: QCFF values are derived from tests of GTSPP stage 2
Quality_Comments: A quality flag modified by hand has a QCFF value of 1
Quality_Comments: Mean(AutoSAL-CTD) = 0.017092 ±0.0096407 (58 data)
Quality_Comments: O2 sensor calibrated with Winkler titrations (n=77, r2=0.998); orig Soc=0.33043, voffset=-0.4404
Quality_Comments: pH calibration to come
   CNTR_01    PRES_01 Q    TE90_01 Q    CNDC_01    OXV__01    PHPH_01 Q    FLOR_01    TRB__01    PSAR_01    SPAR_01    ALT__01    DPDT_01    DEPH_01 Q    PSAL_01 Q    SIGT_01 Q    DOXY_01 Q    OSAT_01 QCFF_01 
    (none)   decibars    degrees C       mhos/m      volts  NBS scale      mg/m**3        NTU    uE/s/m²    uE/s/m²          m metres/sec     metres          psu      kg/m**3         ml/l            %   
      7415     67.500 1     2.3638 1   2.831124     3.1526      8.093 1     0.1813      1.090      0.000   4630.200  16.840000      0.859     66.918 1    31.5164 1    25.1552 1      6.675 1   86.41800 0 
      7428     68.000 1     2.3575 1   2.831009     3.1508      8.091 1     0.1824      1.096      0.000   4631.400  16.320000      0.904     67.414 1    31.5210 1    25.1594 1      6.674 1   86.39300 0 
      7441     68.500 1     2.3494 1   2.830608     3.1491      8.090 1     0.1821      1.105      0.000   4631.600  15.760000      0.916     67.909 1    31.5238 1    25.1622 1      6.673 1   86.36400 0 
      7456     69.000 1     2.3358 1   2.829724     3.1471      8.089 1     0.1733      1.107      0.000   4629.700  15.200000      0.883     68.405 1    31.5262 1    25.1652 1      6.676 1   86.36900 0 
      7473     69.500 1     2.3169 1   2.828592     3.1450      8.088 1     0.1652      1.104      0.000   4625.500  14.650000      0.810     68.900 1    31.5307 1    25.1702 1      6.678 1   86.37000 0 
      7490     70.000 1     2.2897 1   2.827219     3.1430      8.086 1     0.1669      1.100      0.000   4619.500  14.100000      0.734     69.396 1    31.5405 1    25.1800 1      6.677 1   86.30000 0 
      7507     70.500 1     2.2617 1   2.825898     3.1408      8.085 1     0.1729      1.093      0.000   4611.800  13.540000      0.700     69.892 1    31.5517 1    25.1910 1      6.671 1   86.16000 0 
      7523     71.000 1     2.2326 1   2.824561     3.1387      8.085 1     0.1787      1.088      0.000   4601.800  13.030000      0.714     70.387 1    31.5639 1    25.2029 1      6.663 1   86.00000 0 
      7538     71.500 1     2.2139 1   2.823786     3.1372      8.085 1     0.1794      1.092      0.000   4591.300  12.580000      0.753     70.883 1    31.5726 1    25.2113 1      6.660 1   85.92900 0 
      7552     72.000 1     2.2084 1   2.823746     3.1360      8.084 1     0.1779      1.098      0.000   4580.000  12.140000      0.798     71.378 1    31.5774 1    25.2155 1      6.662 1   85.95400 0 
      7566     72.500 1     2.2095 1   2.824092     3.1348      8.083 1     0.1743      1.105      0.000   4567.600  11.680000      0.829     71.874 1    31.5802 1    25.2177 1      6.664 1   85.98400 0 
      7582     73.000 1     2.2105 1   2.824425     3.1330      8.081 1     0.1705      1.104      0.000   4557.500  11.210000      0.814     72.370 1    31.5831 1    25.2199 1      6.660 1   85.93500 0 
      7601     73.500 1     2.2009 1   2.823982     3.1305      8.080 1     0.1673      1.100      0.000   4558.600  10.670000      0.731     72.865 1    31.5869 1    25.2236 1      6.650 1   85.78900 0 
      7623     74.000 1     2.1772 1   2.822774     3.1281      8.079 1     0.1666      1.105      0.000   4580.000  10.030000      0.608     73.361 1    31.5953 1    25.2321 1      6.644 1   85.65700 0 
      7650     74.500 1     2.1655 1   2.822551     3.1258      8.077 1     0.1697      1.113      0.000   4608.500   9.320000      0.486     73.856 1    31.6039 1    25.2398 1      6.643 1   85.62500 0 
      7681     75.000 1     2.1468 1   2.821682     3.1219      8.076 1     0.1720      1.096      0.000   4622.000   8.430000      0.385     74.352 1    31.6115 1    25.2473 1      6.639 1   85.53600 0 
      7704     75.500 1     2.1121 1   2.819674     3.1185      8.075 1     0.1659      1.099      0.000   4626.300   8.140000      0.447     74.848 1    31.6210 1    25.2573 1      6.652 1   85.63100 0 
      7725     76.000 1     2.0901 1   2.818446     3.1158      8.073 1     0.1713      1.109      0.000   4632.400   7.810000      0.546     75.343 1    31.6275 1    25.2641 1      6.659 1   85.68600 0 
      7746     76.500 1     2.0593 1   2.816828     3.1127      8.072 1     0.1728      1.106      0.000   4636.700   7.360000      0.575     75.839 1    31.6379 1    25.2747 1      6.659 1   85.62400 0 
      7768     77.000 1     1.9972 1   2.813685     3.1101      8.072 1     0.1725      1.097      0.000   4639.100   6.870000      0.562     76.334 1    31.6607 1    25.2973 1      6.660 1   85.50900 0 
      7793     77.500 1     1.9643 1   2.812074     3.1085      8.071 1     0.1688      1.090      0.000   4640.400   6.350000      0.512     76.830 1    31.6733 1    25.3097 1      6.664 1   85.49900 0 
      7822     78.000 1     1.9467 1   2.811240     3.1069      8.069 1     0.1675      1.095      0.000   4639.800   5.810000      0.439     77.326 1    31.6803 1    25.3165 1      6.667 1   85.50000 0 
      7853     78.500 1     1.9330 1   2.810584     3.1055      8.067 1     0.1686      1.098      0.000   4639.100   5.290000      0.394     77.821 1    31.6856 1    25.3217 1      6.667 1   85.48400 0 
      8495     79.000 1     1.9339 1   2.810702     3.1030      8.058 1     0.1679      1.112      0.000   4476.500   4.570000      0.016     78.317 1    31.6860 1    25.3219 1      6.660 1   85.39400 0 
      9963     79.500 1     1.9184 1   2.809768     3.1002      8.046 1     0.1575      1.116      0.000   4651.500   4.080000      0.027     78.812 1    31.6896 1    25.3259 1      6.656 1   85.31100 0 
